query_idx,query,gold_idx,gold_paragraph
56,Can police search an impounded car without a warrant?,46814,"”  *Id.* at 447 (citing *State v. [...]*, 88 [...], 233 (1981)) (emphasis added).  Additionally, the [...] Constitution does not permit a police officer to conduct a warrantless search of an automobile after towing it to headquarters merely because he could have done so on the side of the road; [...]’s automobile exception is limited “to on-scene warrantless searches. ”  Id. at 449; see also State v. [...], 459 [...] 13, 24 (App. Div. 2019).  The handful of published cases applying the “unforeseeable and spontaneous” standard of [...] draw a clear line.  When police conduct a routine traffic stop and happen to come across probable cause that the vehicle contains contraband or evidence of an offense, that probable cause arose spontaneously and unforeseeably.  State v. [...], 478 [...] 116, 128-29 (App. Div. 2024); State v. [...], 478 [...] 81, 96 (App. Div.), leave to appeal denied, 257 [...] 413 (2024); [...], 459 [...] at 25.  Conversely, where “the investigative stop was deliberate, orchestrated, and wholly connected with the reason for the subsequent seizure of the evidence,” probable cause did not arise spontaneously and unforeseeably."
57,Can police stop a person based on their race?,58691,"Plaintiff was punched, kneeed in the ribs, choked by the police officers warranting that an ambulance be called to take him to the hospital.  (\textit{Pa092-P096; Pa53-Pa54}).  The stop and the beating were ultra vires.  The severe beating and choking causing dislocation of plaintiff’s jaw constitutes assault and battery which were committed under color of law, resulted in physical injuries, monetary loss and severe emotional distress.  Plaintiff was also improperly seized and arrested, all which violated Plaintiff’s Constitutional and Statutory rights including violations of [...].  (\textit{Pa093-Pa096; Pa053-Pa054; Pa041})  Plaintiff also met the elements of Malicious prosecution because plaintiff was stopped, brutally beaten and falsely imprisoned based on his race.  Plaintiff was then maliciously convicted of Obstructing the Administration of Law in violation of [...].  As will be argued below, there must be a separate lawful act that was obstructed to satisfy [...].  Stopping and searching people based on their race cannot reasonably be considered “the Administration of Law. ”  Encounters with the police in which a person's freedom of movement is restricted, such as an arrest or an investigatory stop or detention, must satisfy acceptable constitutional standards.  See \textit{State v. [...]}, 175 [...], 502, 510-11 (2003).  Based on this, plaintiff satisfied Count Four of his complaint.  (Pa533; Pa534)"
57,Can police stop a person based on their race?,7877,"See *[...]*, 158 [...] at 468 ([...], J., concurring).  If that description alone were sufficient to allow police to conduct an investigatory stop of defendants’ vehicle, then law enforcement officers would have been permitted to stop every Black man within a reasonable radius of the robbery.  Such a generic description that encompasses each and every man belonging to a particular race cannot, without more, meet the constitutional threshold of individualized reasonable suspicion."
57,Can police stop a person based on their race?,1478,"Our Supreme Court has affirmed that “a random stop based on nothing more than a non-particularized racial description of the person sought is especially subject to abuse. ”  *State v. [...]*, 213 [...], 420-21 (2012).  In *[...]*, police went to a multi-unit building to execute an arrest warrant for a fugitive.  *Id.* at 401, 411.  The officers saw two Black men, the defendant and another individual, exit the building and immediately part ways, seemingly after seeing the officers.  *Id.* at 403.  “[T]he only features that [the testifying officer] could say [the defendant] shared in common with the targeted fugitive were that both were black and both were men. ”  *Id.* at 403.  That similarity did not create reasonable suspicion to justify the stop, even when considering the officer’s suspicion that the defendant and other man parted ways to avoid police attention.  *Id.* at 411-12; see also *State v. [...]*, 249 [...], 531 (2022) (Holding that the defendant matching a description of suspects’ race and sex alone was of little to no value in a reasonable suspicion analysis)."
57,Can police stop a person based on their race?,25977,"By stopping plaintiff without probable cause, assaulting and battering him, searching him unlawfully arresting him and attempting to violate [...]’s privacy by trying to enter her car without her consent without reasonable suspicion, and without a warrant, the police acted with intent and violated clearly established statutory or constitutional rights of which a reasonable person would have known.  Plaintiff was racially profiled due to his black race, stopped then searched which violates his civil rights in violation of [...] (c ) and rights under Article 1 para 1, 5, 7 of the [...] Constitution.  Based on this, the police were not eligible to qualified immunity."
57,Can police stop a person based on their race?,40954,"And the radio dispatch indicated that the store was robbed by two Black men.  Sergeant [...] testified that upon seeing three Black males in the vehicle, he inferred that the third was the getaway driver.  While Sergeant [...]’s inference was reasonable, with the dearth of information available at the time regarding the suspects, it could easily be argued that police would have also been able to stop a single Black man in a car, or on foot, based on the assumption that the robbery suspects split up after the crime.  The reality is that the ambiguous nature of the description could have resulted in Black men in any configuration and using any mode of transportation being stopped because the only descriptors of the suspects were race and sex."
58,Can the prosecutor call the defendant a liar in summation,58256,f.  The Prosecutor Committed Prosecutorial Misconduct by Telling the Jury that [...] was Lying and Improperly Expressed his Personal Opinion as to the Veracity of Witnesses in the Prosecutor’s Summation (Not Raised Below)
58,Can the prosecutor call the defendant a liar in summation,59170,"The Prosecutor committed Prosecutorial Misconduct by insinuating that [...] was lying on Direct Examination (7T:153-19 to 155-13); (17T:75-25 to 78-21)  In [...], the Court found that the prosecutor expressing his personal opinion that the defendant was lying in conjunction with other instances of prosecutorial misconduct warranted the reversal of the defendant’s conviction and a remand for a new trial.  [...], 437 [...] at 463 (citing State v. [...], 123 [...] 1, 154 (1991)).  The Appellate Division cautioned in [...], “[i]t is improper for a prosecutor to express his personal opinion on the veracity of any witness. ”  Here, the Prosecutor asked [...] what [...] wanted to talk to his shrink about."
59,Canine sniff of car,36100,"[1T5; 1T23].  After hearing the testimony of the officers, Judge [...] reserved his decision to issue a written opinion.  [1T51-21 to 52-9].  On October 27, 2022, Judge [...] denied defendant’s motion to suppress the search and seizure of his vehicle.  [Da6-15].  Judge [...] found the officers had a reasonable and articulable suspicion to stop the vehicle based on the observed motor vehicle violation.  [Da11].  Turning to the canine sniff of the vehicle, Judge [...] found that the sniff prolonged the stop of the car but that the officer had a reasonable and articulable suspicion to prolong the motor vehicle stop."
59,Canine sniff of car,35017,"*Id.* at 554.  The [...] Court held that, based upon the information available to the officer, including the tip from the ATF, the defendant’s nervous behavior, and the officer’s examination of the car through the windows of the car, there was reasonable and articulable suspicion to ask for the canine sniff of the vehicle and prolong the stop.  *Id.* at 554-555."
59,Canine sniff of car,43825,"Ibid.  The officers patted down and questioned the defendant and, after the driver denied consent to search the car, conducted a canine sniff of the car.  Id. at 162.  The canine alerted to the presence of narcotics inside the car, the police performed a warrantless search, and seized drugs and other evidence from the car.  *Ibid.*  The [...] Court affirmed the trial court order suppressing the evidence seized from the car because the circumstances leading to probable cause to search were not unforeseeable and spontaneous."
59,Canine sniff of car,41979,"”  In [...], the police received a tip from a concerned citizen two months prior to the motor vehicle stop in question, which connected a particular residence and vehicle like defendant’s to drug deals.  Id. at 172.  One month later, officers received information from a confidential informant that defendant had used his vehicle for drug distribution.  Police began surveilling the defendant in his car for forty-seven minutes until they observed circumstances resembling a drug transaction that would normally justify a warrantless search.  *Ibid.*  The police then conducted a canine sniff, which confirmed their belief that the car contained drugs.  They then searched the car's interior without a warrant."
59,Canine sniff of car,65054,"*Ibid.*  Upon stopping the vehicle, the officer noted that car was full of Febreze air fresheners.  *Ibid.*  The defendant was very nervous: he was sweating and trembling as he spoke to the officer.  *Ibid.*  He gave contradictory answers to the detective’s questions.  *Ibid.*  The stop was extended to have a canine sniff the outside of the car.  *Id.* at 548.  In upholding the stop, the Supreme Court stated that the courts must examine the totality of the circumstances in determining whether a reasonable and articulable suspicion exists."
60,Car search based on smell of marijuana,67512,"[...] testified that he asked for consent to search the car even though he already had probable cause to search the car based on the smell of marijuana.  (1T 16-7 to 17-1, 34-5 to 11)  Notably, the MVR shows that there was no mention of the smell of marijuana until approximately ten minutes into the motor vehicle stop; it was only when [...] asked [...] for consent to search the car that another officer spoke up and said consent was unnecessary due to the smell of marijuana.  (1T 34-1 to 13; Da 20 at 9:50 to 10:00)  [...] requested a DMV inquiry for [...], and he discovered that [...] had a suspended license and an active warrant out of [...] for $200.  (1T 17-10 to 23, 38-22 to 39-6)  [...] --- 2  The car did in fact belong to [...]’s mother. (4T 29-1 to 5, 38-24 to 39-13) was arrested, and the officers conducted a search of the Suburban."
60,Car search based on smell of marijuana,11568,"(1T15-10 to 22).  The officers subsequently asked for consent to search the vehicle based on the scent of marijuana, which defendant refused.  (1T16-2 to 6).  Officers then notified defendant that, in light of the probable cause to believe marijuana was present in the vehicle, they would be performing a search thereof.  (1T16-7 to 15).  Contemporaneously, a search of defendant’s actual identifiers revealed that he was the subject of suspended driving privileges and an active municipal court warrant, and accordingly placed in custody.  (1T17-9 to 18-2).  The search of the vehicle turned up a loaded, nine-millimeter handgun and a modified gas mask.  (1T18-19 to 19-19).  Given the training and experience of --- ²  The facts of this case pre-date the partial decriminalization of marijuana."
60,Car search based on smell of marijuana,82387,"(1T 95-1 to 105-24; Da 13)  Regarding the stop, the court found that [...] lawfully stopped the Suburban based on his reasonable belief that there was a violation of the tinted windows statute.  (1T 100-15 to 102-20)  The court stated, “The law on tinted windows is clear.  . . .  The rear windows can be tinted.  However, the front window and the front driver and the front passenger windows cannot. ”  (1T 101-12 to 16)  Regarding the search, the court found that the officers lawfully searched the Suburban based on the smell of marijuana, as [...] credibly testified that he smelled marijuana, and the smell of marijuana provided probable cause for the search.  (1T 10-21 to 105-19)  B.  The Trial"
60,Car search based on smell of marijuana,52662,"This case serves as an example of unreasonable behavior by police officers and prosecutors.  On December 18, 2020, [...] police officers [...] and [...], following behind a car driven by [...], and occupied by defendant [...] and three other people, searched the license plate in a database which returned a possible warrant for [...].  Although Officer [...] testified that he knew the database is not always accurate and that it was common practice to always confirm the warrant before making an arrest, he nevertheless stopped the car without confirming that the warrant was valid.  Still not knowing whether the warrant was valid, police then proceeded to search the car based on the smell of marijuana, recovering a small quantity of marijuana and a handgun.  It was only after completing the search that the officers determined that the outstanding warrant was not in fact for [...], but rather, was for someone with a similar name.  Not only did police behave unreasonably when deciding to stop the car, but so did prosecutors when they waited more than two years to file a motion to compel a buccal swab from defendants so that they could attempt to compare DNA to samples found on the gun.  This unjustifiable delay rendered the search unreasonable.  PROCEDURAL HISTORY"
61,Cases Where Anonymous Tips Did Not Justify Car Stops,42186,"State v. [...], 229 [...] 263 (2017), a case in which a stop was held to be unlawful despite a significantly greater amount of suspicious activity, demonstrates the lack of reasonable suspicion in this case.  In [...], the officer had received an anonymous tip that the defendant was selling heroin from her home and car.  Id. at 267.  A few days later, at 11:30 p.m., the officer saw the defendant in front of her home, moving inside of that car in a “furtive” manner.  Id. at 277.  Officers conducted a stop by blocking in her car.  Id. at 267.  Our Supreme Court held that there was insufficient suspicion of criminality to justify a stop.  Id. at 277.  In this case, the officers knew nothing about the passengers in the car.  This case is therefore in stark contrast to [...], where there was some basis to believe the person in the car dealt drugs."
61,Cases Where Anonymous Tips Did Not Justify Car Stops,3152,"**POINT II – DESPITE THE UNJUSTIFIABLE EXCLUSION OF IMPORTANT EVIDENCE, THE EVIDENCE STILL SUPPORTED  A FINDING OF REASONABLE SUSPICION**  Second, Defendant’s contentions misinterpret the law related to reasonable suspicion.  Defendant contends that a 9-1-1 call alone cannot create reasonable suspicion under these circumstances.  As support, Defendant relies on *Florida v. J.L.*, 529 U.S. 266 (2000).  In *J.L.*, the United States Supreme Court found that an anonymous report of a person with a firearm, standing alone, is insufficient to justify an investigatory stop.  *Florida v. J.L.*, 529 U.S. 266, 273 (2000).  However, *J.L.* did not involve a tip made through the 9-1-1 system.  And since the publication of *J.L.*, both the United States Supreme Court and the [...] Supreme Court have held that this is an important distinction.  See *Navarette v. California*, 572 U.S. 393 (2014); *State v. Golotta*, 178 [...] 205 (2003); and *State v. Gamble*, 218 [...] 412, 429 (2014)."
61,Cases Where Anonymous Tips Did Not Justify Car Stops,28372,"(1T 81-24 to 82-5)  LEGAL ARGUMENT  THE ANONYMOUS, UNCORROBORATED 9-1-1 CALL DID NOT GIVE RISE TO REASONABLE SUSPICION TO STOP DEFENDANT.  There was no reasonable suspicion to stop [...], neither from the second-hand recitation of the contents of the 9-1-1 call nor from the officer’s incredible testimony.  The trial court’s credibility findings and its legal conclusions were sound and should not be disturbed.  The motion to suppress must be upheld."
61,Cases Where Anonymous Tips Did Not Justify Car Stops,20983,"*But See Florida v. J.L.*, 529 U.S. 266, 274 (2000) (anonymous tip alone not enough to reach level of reasonable suspicion).  This is because informants whose names are available face a serious risk committing a crime if they provide false information.  *See Id.*  Officers have a duty to fully --- 5In holding that the heightened-caution standard for removing passengers requires more than the per se rule for removing drivers, but less than the Terry standard, the Court noted, “We adopt this lesser standard because of the need to protect police officers and because of the minimal intrusion the requirement to exit the car imposes on the passenger."
61,Cases Where Anonymous Tips Did Not Justify Car Stops,29626,"*State v. [...]*, 155 [...], 93-96 (1998).  The test for how much weight should be attributed to a tip is a totality of the circumstances analysis.  *Id.* at 92-93.  The Supreme Court of the United States has long made clear that a tip that allows only for the identification of its target is insufficient to support a stop or frisk.  In *Florida v. [...]*, an anonymous caller reported that a young black male was standing at a particular bus stop, wearing a plaid shirt, and carrying a gun.  529 U.S. 266, 268 (2000).  Two officers were dispatched, arriving shortly thereafter, and saw three black males, including one, [...], who was wearing a plaid shirt.  *Ibid.*  The officers saw no gun or anything else unusual.  Nevertheless, one officer told [...] to put his hands up, frisked him, and seized a gun from his pocket.  *Ibid.*  The Supreme Court held that the investigatory stop was unreasonable and suppressed the gun."
62,Community caretaking search of a home,63136,"RESPONDENT’S ARGUMENT THAT OFFICER [...] HAD A REASONABLE, ARTICULABLE SUSPICION  SUFFICIENT TO EFFECT  A STOP OF APPELLANT  IGNORES  CRUCIAL TESTIMONY ESTABLISHING THAT THE COMMUNITY CARETAKING FUNCTION WAS INAPPLICABLE."
62,Community caretaking search of a home,90038,"“The exceptions to the warrant requirement take into account that in certain circumstances, ‘a search without a warrant is both reasonable and necessary. ’”  *State v. [...]*, 425 [...] 546 (2012).  “For example, our case law permits a warrantless search when incident to a lawful arrest, when consent is given, when government officials act in a community-caretaking function, and when exigent circumstances compel action."
63,Do you need exigent circumstances to search a car without a warrant?,36623,"Any reasonable black man engaging in innocent activity would have panicked and feared for his life after being stopped at night by the [...].  Based on the facts presented, the defendants did not establish reasonable suspicion or probable to stop and arrest the terrified plaintiff.  Plaintiff’s alleged initial attempt to run is an insufficient fugitive gesture to provide articulable suspicion or probable cause for an arrest since he was contained and on the ground prior to the search of his car and bags without a warrant or exigent circumstances.  (Pa022-Pa023; Pa093).  The police did not show any reasonably trustworthy information sufficient to warrant a reasonable person to believe that the plaintiff had committed an offense.  Plaintiff who fell to ground on his own before he was picked up and thrown down again by the police, established that he was simply nervous and afraid of the police and falsely arrested and imprisoned without probable cause."
63,Do you need exigent circumstances to search a car without a warrant?,14838,"A motor vehicle stop by a police officer, no matter how brief or limited, is a "" 'seizure' of 'persons' "" under both the Federal and State Constitutions...To justify such a seizure, ""a police officer must have a reasonable and articulable suspicion that the driver of a vehicle, or its occupants, is committing a motor-vehicle violation or a criminal or disorderly persons offense.""  ...""The suspicion necessary to justify a stop must not only be reasonable, but also particularized.""  ...An investigative stop ""may not be based on arbitrary police practices, the officer's subjective good faith, or a mere hunch.""  [Internal citations omitted by me]  I am not going to put a lot of weight on the argument revolving around the warrantless search of [...] car because it did not result in any findings.  On the other hand, I am going to mentions it here as it is another error from the officers which again violated my fourth amendment rights because they did not have ""sufficient exigent circumstances"" to conduct a warrantless search of the vehicle, including opening the locked trunk, considering the vehicle was impounded."
63,Do you need exigent circumstances to search a car without a warrant?,84475,"”  Id at 198 [...], 20 (2009)  Here, either [...], [...], [...], [...] and [...] who had arrived on the scene prior to the search of the car trunk could have called for a warrant.  *(Pa303-304). *  As Plaintiff was handcuffed, he could not reach into the backpack under the floorboard in the car trunk to pull out any weapon to injure any officer.  *See State v. Dunlap*, 185 [...], 548-549 (2006).  Thus, there were no exigent circumstances for a warrantless search of the car trunk.  The fruit-of-the-poisonous-tree doctrine denies the prosecution the use of the marijuana obtained as a result of a 4th or 5th Amendment violation.  *United States v. Patane*, 542 U.S. 630, 642-44 (1963); *See [...] Const. Art I para7*.  Based on this doctrine, the marijuana could not have been used as grounds for plaintiff’s prosecution."
63,Do you need exigent circumstances to search a car without a warrant?,24413,"*State v. [...]*, 123 [...] 428 (1991).  As stated in *State v [...]*:  The warrantless search of an automobile in [...] is permissible where (1) the stop is unexpected; (2) the police have probable cause to believe that the vehicle contains contraband or evidence of a crime; and (3) exigent circumstances exist under which it is impracticable to obtain a warrant."
63,Do you need exigent circumstances to search a car without a warrant?,47038,"This is also an error on the judge’s part who should have noted this 4th amendment violation after reviewing the body cam footages.  Also, the judge should have reduced the credibility of the officer after witnessing this warrantless search violation.  *State v. [...], 223 [...] 409, 416 ([...] 2015)* (""With Pena-Flores as its guide, the trial court made the following findings: the officer had a right to stop defendant's car based on an “unexpected” occurrence and had probable cause to search for an open container of alcohol, but did not have “sufficient exigent circumstances” to conduct a warrantless search.  Accordingly, the court suppressed the handgun."")  *State v. [...], 223 [...] 409, 417 ([...] 2015)* (""in applying Pena-Flores, the panel determined that the evidence at the suppression hearing did not ""suggest[ ] anything close to an exigency that would permit a motor vehicle search without a warrant.""  Id. at 613, 90 A.3d 664.  It emphasized that the stop occurred in the early morning when defendant was driving alone; during the search, defendant was “handcuffed” and “seated in the back of a police vehicle”; and the police had no reason to believe that the object of the search— “open containers of alcohol”—would not still be in the car “once a warrant was obtained. ”  Ibid.)  State v. [...], 223 [...] 409, 422 ([...] 2015) (“The automobile exception to the warrant requirement—as defined by the United States Supreme Court in construing the Fourth Amendment—authorizes a police officer to conduct a warrantless search of a motor vehicle if it is “readily mobile” and the officer has “probable cause” to believe that the vehicle contains contraband or evidence of an offense.)  Conclusion"
64,Does probable cause exist where the police officer thinks the suspect was acting suspiciously?,30790,"“There must be particularized suspicion” for every individual that the police detain.  State v. [...], 213 [...] 275, 282 (App. Div. 1986) (emphasis added).  The seizure of a person must be supported by suspicion “particularized with respect to that person,” and “[t]his requirement cannot be undercut or avoided by simply pointing to the fact that coincidentally there exists probable cause to search or seize another.  . . .”  State v. [...], 276 [...] 346, 352 (App. Div. 1994) (quoting *Ybarra v. Illinois*, 444 U.S. 85, 91 (1979)).  Patrolman [...] did not see [...] do anything suspicious.  He did not see [...] give [...] any drugs.  He did not see [...] give [...] any containers that could contain drugs.  He did not see [...] give [...] any money.  At most, [...] saw [...] talking to someone who later used drugs.  That cannot provide reasonable, particularized suspicion to detain [...].  The motion court erred in ruling otherwise, and this Court should reverse."
64,Does probable cause exist where the police officer thinks the suspect was acting suspiciously?,51693,"[...] v. United States, 998 F. Supp. 425, 434.  Probable cause exists where the police have reasonably trustworthy information sufficient to warrant a reasonable person to believe a particular person has committed or is committing an offense [...] v. State, 816 S.W.2d 407, 413 (Tex.Cr.App.1991).  The determination of the existence of probable cause concerns ""the factual and practical considerations of everyday life on which reasonable and prudent [people], not legal technicians, act.""  See [...] v. State, 668 S.W.2d 337, 345 (Tex.Cr.App.1982) (opinion on rehearing), cert. denied, 469 U.S. 1181, 105 S.Ct. 939, 83 L.Ed.2d 952 (1985)  The standard in establishing a probable cause defense in the context of a false arrest claim is one of ""objective reasonableness.""  [...] v. [...], [...] at 622-623.  An officer can defeat a claim by establishing probable cause, or even absent same, if a reasonable officer similarly situated would have believed in its existence."
64,Does probable cause exist where the police officer thinks the suspect was acting suspiciously?,81202,The use of force forms signed by both Officers [...] and [...] describes the “type of incident” as a “suspicious person” incident.  (Pa030; Pao031).  The police cannot develop probable cause because a person looks “suspicious” (Pa30).  Based on this all-reasonable inference should have been in the plaintiff’s favor as the party opposing summary judgment.
64,Does probable cause exist where the police officer thinks the suspect was acting suspiciously?,37686,"Officer [...] was resolute in his testimony that defendant was not involved in any suspicious conduct prior to stopping and subsequently searching him.  Hence, it is clear that there was no probable cause to justify the warrantless search of defendant who was walking in the area of [...] in [...], [...].  The definition of probable cause was set forth in *Brinegar v. United States*, 338 U.S. 160, 175, 176 (1949).  The Supreme Court held that police have probable cause when the facts and circumstances within the officers' knowledge and of which he had trustworthy information is sufficient in and of itself to warrant a man of reasonable caution in the belief that an offense has been or being committed.  In the instant case, clearly the officer candidly admitted that he did not see the defendant act in any suspicious manner.  He stated that he was told that defendant was a ""suspect"" and alleged shooter in a murder case about which he had only minimal information.  Obviously, the mere fact that defendant was a ""suspect"" in a murder is not the equivalent of probable cause or reasonable suspicion.  The officer admitted that he was not conversant with the details of the alleged murder and how it was determined that defendant was the alleged culprit in the murder.  Lastly, Terry v. Ohio, 392 U.S. (1968) is not applicable to the facts in this case.  Terry v. Ohio initially arose in the context of a preventive stop and frisk.  The United States Supreme Court subsequently extended the Terry doctrine to police investigation and detection of previously committed crimes in United States v. Hensley, 469 U.S. 221 (1985).  In Hensley the Supreme Court stated that:  If police have a reasonable suspicion, grounded in specific and articulable facts that a person they encounter was involved in or is wanted in connection with a completed felony, then a Terry stop may be made to investigate that suspicion.  Id. at 229.  (Emphasis added).  In State v. Davis, 104 [...], 504 (1986) the [...] Supreme Court explained that:  An investigatory stop is valid only if the officer has a particularized suspicion based upon an objective observation that the person stopped has been or is about to engage in criminal wrongdoing.  In the case at bar there was no arrest or search warrant for the defendant.  The mere fact that the officer, who had no personal knowledge whatsoever with respect to the defendant's alleged previous conduct, was told by fellow officers that he was a ""suspect"" in a murder case is clearly not a ""particularized suspicion based upon an objective observation.""  Hence, the search of defendant cannot be justified by the Terry/Hensley doctrine.  CONCLUSION"
64,Does probable cause exist where the police officer thinks the suspect was acting suspiciously?,73823,"See State v. [...], 124 [...], 382-83 (1991) (noting “when an officer’s experience and expertise is relevant to the probable cause determination, the officer must be able to explain sufficiently the basis of that opinion, so that it can be understood by,” and be persuasive to, the “average reasonably prudent person”) (internal quotations omitted).  The affiant failed to explain how this conclusion was “based on his training and experience as a narcotics officer,” and did not explain what inferences he drew that led him to conclude that [...] was engaging in drug distribution.  (1T:20-18 to 21-21) (trial court asking how affiant’s training and experience led him to draw this conclusion); Cf. State v. [...], 167 [...] at 487-88 (holding officers’ testimony they suspected the defendant was concealing contraband by placing bag in waistband did not support reasonable suspicion where officers did not explain, for instance, that contraband is frequently transported in this manner based on their training and experience); State v. [...], 410 [...] 549, 556-57 (App. Div. 2009) (holding officer’s testimony he was concerned the defendant was concealing weapon by putting hand in his pocket did not support reasonable suspicion where officer did not articulate basis for concern.)  Finally, the trial court appropriately took notice of the affidavit’s heavy reliance on [...]’s criminal history, as well as the criminal histories of some of the people he interacted with, as a substitute for critical information that was missing from the warrant affidavit.  See Ybarra v. Illinois, 444 U.S. 85, 91 (1979) (holding that ""mere propinquity to others independently suspected of criminal activity does not, without more, give rise to probable cause"" to search a person or automobile).  The trial court correctly concluded that absent police observations of money being exchanged or any description of the items that were transferred to different people, the evidence presented in the warrant affidavit amounts to no more than “a suspicion based on CI information” and [...]’s criminal record.  (1T:17-16 to 18-12, 21-18 to 22-8, 23-20 to 24-9)  While the officer may have suspected that [...] was engaged in criminal activity, the facts in the affidavit are insufficient to support anything more than a suspicion of criminal activity, let alone to establish probable cause.  The trial court’s decision was correct, and this Court should accordingly affirm its suppression of the evidence."
65,Does the automobile exception apply to parked cars?,50200,"[...] at 172.  The probable cause that developed — that there were drugs in [...]’s car — was not unforeseeable.  The SET members believed that [...] had just engaged in a narcotics transaction using his car.  Thus, as in [...], the officers were detaining [...] next to his car because they “reasonably anticipated and expected they would find drugs” in the car.  Ibid.  Nor were the circumstances leading to probable cause spontaneous — they did not develop “suddenly or rapidly,” id. at 173, instead developing over the course of a surveillance operation by multiple officers.  Detective [...]’s stop of [...] “was deliberate, orchestrated, and wholly connected” to the later seizure of drugs from [...]’s car.  Id. at 172.  As in [...], the mere fact that [...] only had reasonable suspicion that [...] was selling drugs out of his car before [...]’s alleged admission “does not eviscerate the steps that led” to that probable cause.  Id. at 173-74.  In short, the SET members in this case saw what they believed to be a drug transaction from [...]’s car and then stopped [...] next to his car because of their suspicions.  The subsequent ripening of that reasonable suspicion into probable cause that the car contained contraband was not a surprise; it was the exact thing the SET members were expecting to happen.  Thus, because the probable cause did not arise from unforeseeable and spontaneous circumstances, [...]’s automobile exception was not satisfied.  The warrantless search of [...]’s car was illegal, and all evidence found should be suppressed."
65,Does the automobile exception apply to parked cars?,83594,"584 U.S. at 591-92.  The United States Supreme Court held that the automobile exception did not apply, stating “[n]othing in our case law . . . suggests that the automobile exception gives an officer the right to enter a home or its curtilage to access a vehicle without a warrant. ”  Id. at 595.  The Court further found that the curtilage was part of the home itself for search and seizure purposes.  Id. at 592.  Relying on Payton v. New York, 445 U.S. 573, 587–590 (1980)), the Court pointed out that a warrantless arrest is legal outside the home, but not within the home.  Id. at 595.  So too, the Court held, a warrantless search of a car may occur in public, but not in the curtilage.  Ibid.  In [...], the defendant asked her landlord to investigate a leak in her home."
65,Does the automobile exception apply to parked cars?,49211,"[...] at 563, 567.  They located it in a parking lot near the scene of the crime, unoccupied.  Ibid.  Officers searched it and found evidence that ultimately led to defendants’ convictions for robbery.  Id. at 563.  The Supreme Court confirmed “that the search of the car was justified as falling within the automobile exception as applied by the Supreme Court in Chambers v. Maroney[.]”  Id. at 563-64.  Over the next few decades, the Court repeatedly reaffirmed the tenant that police may validly search a vehicle under the automobile exception even when they suspect the specific contraband they believe will be found in it."
65,Does the automobile exception apply to parked cars?,34558,"Specifically, the trial court recounted that in [...], the circumstances giving rise to probable cause were not spontaneous and unforeseeable because the officers had prior information that the defendant was selling drugs, and they observed and followed defendant for about an hour before they effectuated a motor vehicle stop and searched the vehicle.  The court then compared its erroneous factual findings in concluding that the cases were similar and therefore the automobile exception did not apply.  However, the facts of this case, as set forth in the credible testimony of [...], are clearly distinguishable.  Most notably, unlike the facts of [...], in this case, officers did not have any information about defendant before they observed the silver Infiniti in the parking lot.  Indeed, there was no prior police surveillance or information provided by concerned citizens or confidential informants about defendant’s involvement in drug dealing.  Instead, officers were on routine patrol when they came upon the car parked in a suspicious manner and subsequently observed hand to hand transactions."
66,Does the odor of burnt marijuana emanating from a vehicle justify a different level of intrusion than the odor of raw marijuana?,40677,"Id. at *5.  It explicitly rejected the defendants’ attempts to “dissect an ongoing investigation into pieces” in their attempt to argue that probable cause had become foreseeable under the circumstances.  Ibid.  “We are satisfied that the finding of probable cause here, predicated on --- 5  This unpublished decision has been included in the State’s appendix.  (Pa17-22).  The State is unaware of any contrary authority for the general propositions cited.  the smell of burnt marijuana and then the K-9 sniff, arose from unforeseeable and spontaneous circumstances."
67,Examples of cases where police were required to get a warrant to search a car.,46640,"*Florida v. Jardines*, 569 U.S. 1, 3–5 (2013).  The defendant sought to suppress the information discovered by the dog, and the matter eventually reached the United States Supreme Court.  *Ibid.*  The Court held that law enforcement had committed a trespass, reasoning that their conduct exceeded the implied invitation “to approach the home by the front path, knock promptly, wait briefly to be received, and then (absent invitation to linger longer) leave. ”  *Id.* at 8-9.  Therefore, the Court found, they had unlawfully conducted a search without a warrant.  *Ibid.*  In *Collins*, law enforcement invoked the automobile exception to enter a driveway and lift a tarp to investigate a car parked underneath."
67,Examples of cases where police were required to get a warrant to search a car.,77746,"[...], 38 [...] at 24.  The court erred in failing to credit his testimony.  Without [...]’s alleged statement that there were drugs in the car that belonged to him, the police did not have probable cause that his car contained any contraband.  Without probable cause, police were not permitted to conduct a search of the car, let alone a warrantless search.  [...], 223 [...] at 447.  This Court should therefore hold that the warrantless search was illegal."
67,Examples of cases where police were required to get a warrant to search a car.,84475,"”  Id at 198 [...], 20 (2009)  Here, either [...], [...], [...], [...] and [...] who had arrived on the scene prior to the search of the car trunk could have called for a warrant.  *(Pa303-304). *  As Plaintiff was handcuffed, he could not reach into the backpack under the floorboard in the car trunk to pull out any weapon to injure any officer.  *See State v. Dunlap*, 185 [...], 548-549 (2006).  Thus, there were no exigent circumstances for a warrantless search of the car trunk.  The fruit-of-the-poisonous-tree doctrine denies the prosecution the use of the marijuana obtained as a result of a 4th or 5th Amendment violation.  *United States v. Patane*, 542 U.S. 630, 642-44 (1963); *See [...] Const. Art I para7*.  Based on this doctrine, the marijuana could not have been used as grounds for plaintiff’s prosecution."
